*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCB
*Date=23:28:47
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
207;;;77.4954;-18.579;0;Bottom;Copper Fill87
208;;;86.6902;-45.8967;0;Bottom;Copper Fill58
209;33k;THT;11.2889;-42.0009;90;Bottom;R10
210;;;58.0136;-19.1251;0;Bottom;Copper Fill152
211;;;2.6289;-74.205;0;Bottom;Copper Fill32
212;1k;THT;34.1489;-17.8709;90;Bottom;R2
213;10k;THT;18.9089;-42.0009;-90;Bottom;R11
214;;;51.889;-20.4609;0;Bottom;Via1
215;;;66.8006;-8.78262;0;Bottom;TXT4
216;;;44.7889;-60.2609;0;Bottom;Via24
217;;;44.5008;-61.0732;0;Bottom;Copper Fill3
218;;;77.0088;-8.78262;0;Bottom;TXT4
219;;;64.2112;-57.4156;0;Bottom;Copper Fill5
220;;cap-pth-small2;16.3689;-26.7609;0;Bottom;C9
221;;;19.7104;-53.4659;0;Bottom;Copper Fill44
222;;;30.6324;-81.4059;0;Bottom;Copper Fill41
223;;;2.6289;-74.205;0;Bottom;Copper Fill97
224;;;79.3334;-75.9388;0;Bottom;TXT4
225;;;76.0222;-16.0898;0;Bottom;Copper Fill89
226;;;23.6601;-75.8814;0;Bottom;Copper Fill105
227;;;72.5678;-22.9732;0;Bottom;Copper Fill26
228;;;10.3886;-22.9859;0;Bottom;Copper Fill133
229;;;39.5986;-12.8259;0;Bottom;Copper Fill65
230;;;5.6769;-66.0516;0;Bottom;Copper Fill29
231;;;65.5574;-12.6862;0;Bottom;Copper Fill94
232;;;35.56;-60.8827;0;Bottom;Copper Fill68
233;1k;THT;76.8088;-40.0609;0;Bottom;R8
234;;;19.7104;-47.1159;0;Bottom;Copper Fill61
235;;;66.548;-29.3994;0;Bottom;Copper Fill15
236;1k;THT;46.009;-18.2609;0;Bottom;R3
237;;;11.2649;-22.1604;0;Bottom;Copper Fill132
238;;;69.9262;-28.2056;0;Bottom;Copper Fill18
239;;;56.7764;-75.9388;0;Bottom;TXT4
240;;;60.325;-14.0578;0;Bottom;Copper Fill92
241;;;64.2493;-10.7304;0;Bottom;Copper Fill82
242;;THT;45.6989;-24.8455;180;Bottom;PC817
243;;;59.3761;-8.78262;0;Bottom;TXT4
244;;;59.8889;-60.2609;0;Bottom;Via27
245;;TO-220F-5L;23.6889;-75.0609;-90;Bottom;LM2596
246;;;48.1838;-12.9656;0;Bottom;Copper Fill91
247;;;19.7104;-47.1159;0;Bottom;Copper Fill130
248;;3 mm [THT];87.489;-44.0017;0;Bottom;R
249;1k;THT;60.809;-51.461;0;Bottom;R7
250;;;14.3256;-43.3059;0;Bottom;Copper Fill72
251;;;36.449;-56.3107;0;Bottom;Copper Fill63
252;;;88.1888;-45.8967;0;Bottom;Copper Fill122
253;10k;THT;16.3689;-22.9509;180;Bottom;R12
254;;;5.2578;-27.1007;0;Bottom;Copper Fill117
255;;;2.93864;-71.4014;0;Bottom;Battery
256;;;60.089;-28.6609;0;Bottom;Via2
257;1k;THT;20.1789;-16.6009;180;Bottom;R9
258;;;70.612;-37.0575;0;Bottom;Copper Fill140
259;;;90.541;-14.7969;-90;Bottom;IMG2
260;;;71.1073;-36.5622;0;Bottom;Copper Fill139
261;;[THT];88.839;-33.7109;90;Bottom;S1
262;;;29.9593;-14.9976;0;Bottom;Copper Fill66
263;;;25.2349;-17.4868;0;Bottom;Copper Fill49
264;;;87.4649;-56.7552;0;Bottom;Copper Fill60
265;;;93.2582;-59.3417;-90;Bottom;TXT1
266;;;49.4665;-27.088;0;Bottom;Copper Fill75
267;;;86.6902;-56.0059;0;Bottom;Copper Fill125
268;;;26.5938;-61.7971;0;Bottom;Copper Fill39
269;;;80.3889;-20.2609;0;Bottom;Via43
270;;;74.8284;-24.5988;0;Bottom;Copper Fill24
