*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCB
*Date=00:08:25
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
169;;;2.6289;-56.425;0;Bottom;Copper Fill30
170;;;72.8889;-60.2608;0;Bottom;Via29
171;;;44.0309;-77.3546;0;Bottom;Copper Fill123
172;;;68.0888;-18.4608;0;Bottom;Via11
173;;;78.5889;-20.2608;0;Bottom;Via42
174;;;28.8417;-74.3574;0;Bottom;Copper Fill116
175;;;61.11;-70.3517;-90;Bottom;microSD
176;;;1.016;-72.5159;0;Bottom;Copper Fill29
177;;;33.8201;-5.5996;0;Bottom;Copper Fill75
178;;;7.0612;-27.1007;0;Bottom;Copper Fill130
179;;[THT];88.839;-33.7109;90;Bottom;S1
180;1k;THT;66.2088;-47.6608;0;Bottom;R6
181;;;59.3761;-8.78273;0;Bottom;TXT4
182;;;52.6669;-26.8086;0;Bottom;Copper Fill84
183;;;93.1769;-33.9995;-90;Bottom;TXT3
184;;;61.9804;-8.78273;0;Bottom;TXT4
185;;;18.8849;-54.3168;0;Bottom;Copper Fill38
186;;;29.9888;-14.4609;0;Bottom;Via19
187;;;86.6902;-45.8967;0;Bottom;Copper Fill59
188;1k;THT;72.8088;-44.0608;0;Bottom;R5
189;;;52.1462;-26.2879;0;Bottom;Copper Fill168
190;;;6.1849;-26.2244;0;Bottom;Copper Fill128
191;;;56.6091;-8.78273;0;Bottom;TXT4
192;1k;THT;46.009;-18.2609;0;Bottom;R3
193;;300 mil [THT];17.6135;-69.9409;180;Bottom;D2
194;;;59.8889;-60.2608;0;Bottom;Via27
195;;;43.2562;-76.5799;0;Bottom;Copper Fill124
196;;;71.7255;-75.9388;0;Bottom;TXT4
197;;;11.7962;-42.7741;-90;Bottom;TXT7
198;;;32.0421;-51.0148;0;Bottom;Copper Fill77
199;;;72.517;-40.1055;0;Bottom;Copper Fill44
200;;;19.7104;-53.4659;0;Bottom;Copper Fill40
201;;;30.4292;-14.5023;0;Bottom;Copper Fill153
202;;;71.1707;-36.9941;0;Bottom;Via22
203;;;38.6889;-25.6609;0;Bottom;Via8
204;;3 mm [THT];87.489;-54.1219;0;Bottom;B
205;;;2.93864;-71.4014;0;Bottom;Battery
206;;;44.5008;-61.0732;0;Bottom;Copper Fill3
207;;TO-220F-5L;23.6889;-75.0609;-90;Bottom;LM2596
208;;;74.2188;-21.5508;0;Bottom;Copper Fill24
209;1k;THT;21.4489;-10.2509;180;Bottom;R14
210;;;74.2188;-27.3674;0;Bottom;Copper Fill17
211;;;60.325;-32.8792;0;Bottom;Copper Fill10
212;;;38.289;-38.6609;0;Bottom;Via9
