*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCBv2
*Date=09:16:51
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
216;;;9.9822;-20.0903;0;Bottom;Copper Fill53
217;;;18.0086;-53.4659;0;Bottom;Copper Fill128
218;;;44.6405;-50.2782;0;Bottom;Copper Fill177
219;;THT;30.4659;-5.93277;90;Bottom;DHT22
220;;;75.3888;-60.2608;0;Bottom;Via30
221;;;72.6888;-20.2608;0;Bottom;Via39
222;;;71.9605;-8.78273;0;Bottom;TXT4
223;;;52.6669;-26.8086;0;Bottom;Copper Fill81
224;;;52.5018;-47.3191;0;Bottom;Copper Fill72
225;;;56.6293;-10.7304;0;Bottom;Copper Fill55
226;;;46.9773;-5.75197;0;Bottom;Copper Fill138
227;;;52.4129;-57.0854;0;Bottom;Copper Fill167
228;;;33.8201;-5.59957;0;Bottom;Copper Fill67
229;;;70.612;-37.0575;0;Bottom;Copper Fill160
230;;;57.8485;-21.1952;0;Bottom;Copper Fill79
231;;;53.5432;-33.7936;0;Bottom;Copper Fill94
232;;;41.1353;-48.0684;0;Bottom;Copper Fill134
233;;;71.1073;-36.5622;0;Bottom;Copper Fill159
234;;;61.7093;-72.6048;0;Bottom;Copper Fill42
235;;;2.413;-50.9894;0;Bottom;Copper Fill8
236;;;47.498;-42.5058;0;Bottom;Copper Fill19
237;;;88.4352;-22.0108;-90;Bottom;IMG1
238;;;93.1769;-33.9995;-90;Bottom;TXT3
239;;;50.7492;-63.3846;0;Bottom;Copper Fill1
240;;;71.6026;-37.0575;0;Bottom;Copper Fill66
241;;;1.016;-72.5159;0;Bottom;Copper Fill25
242;;;30.8888;-39.2609;0;Bottom;Via9
243;;;34.4424;-11.2003;0;Bottom;Copper Fill162
244;1k;THT;36.9889;-18.601;90;Bottom;R2
245;;THT;16.9759;-5.93299;90;Bottom;Pluvio
246;;;61.11;-70.3517;-90;Bottom;microSD
247;;;18.8849;-52.6404;0;Bottom;Copper Fill127
248;;;69.0372;-30.0852;0;Bottom;Copper Fill97
249;;;61.682;-75.9388;0;Bottom;TXT4
250;1000µF;200 mil [THT, electrolytic];27.489;-64.3209;-90;Bottom;C6
251;;;45.466;-51.1291;0;Bottom;Copper Fill179
252;;;55.5752;-51.0783;0;Bottom;Copper Fill147
253;;;26.5938;-61.7971;0;Bottom;Copper Fill30
254;;;74.2019;-75.9388;0;Bottom;TXT4
255;;3 mm [THT];87.489;-44.0017;0;Bottom;R
256;39k;THT;14.2722;-34.2609;0;Bottom;R19
257;;;8.2804;-20.0903;0;Bottom;Copper Fill52
258;;;56.6293;-10.7304;0;Bottom;Copper Fill154
259;;;70.1889;-60.2608;0;Bottom;Via28
260;;;1.016;-54.7359;0;Bottom;Copper Fill27
261;1k;THT;26.3889;-25.341;90;Bottom;R17
262;;;9.6393;-43.7504;0;Bottom;Copper Fill43
263;;;36.0553;-61.4034;0;Bottom;Copper Fill61
264;;;61.722;-13.372;0;Bottom;Copper Fill107
265;;;66.8006;-8.78273;0;Bottom;TXT4
266;;;19.7104;-53.4659;0;Bottom;Copper Fill35
267;0.22mF;200 mil [THT, electrolytic];21.4489;-53.4309;0;Bottom;C7
268;;;60.7822;-43.6234;0;Bottom;Copper Fill6
269;;;70.1929;-31.6854;0;Bottom;Copper Fill152
270;;;36.5252;-60.8827;0;Bottom;Copper Fill157
271;;;1.016;-54.7359;0;Bottom;Copper Fill113
272;;;59.8889;-60.2608;0;Bottom;Via27
273;;;29.0888;-15.561;0;Bottom;Via46
274;;;41.0889;-29.161;0;Bottom;Via8
275;;;93.2582;-59.3417;-90;Bottom;TXT1
276;;;48.6156;-26.2371;0;Bottom;Copper Fill74
277;;;18.1102;-40.7532;0;Bottom;Copper Fill89
278;;;6.20889;-80.1009;0;Bottom;Hole3
279;;400 mil [THT];35.089;-72.5809;90;Bottom;L1
280;;;71.1073;-37.5528;0;Bottom;Copper Fill64
281;;;64.2112;-57.4156;0;Bottom;Copper Fill5
282;;;36.5252;-60.8827;0;Bottom;Copper Fill63
283;;;30.8888;-36.8609;0;Bottom;Via45
284;;;77.889;-60.2608;0;Bottom;Via31
285;;;26.789;-44.3609;0;Bottom;Via47
286;;;49.4792;-62.1146;0;Bottom;Copper Fill2
287;;;44.0309;-77.3546;0;Bottom;Copper Fill129
288;1k;THT;77.2089;-47.6608;0;Bottom;R6
289;;;31.5849;-80.4788;0;Bottom;Copper Fill125
290;;;76.0222;-16.0898;0;Bottom;Copper Fill103
291;;;68.3006;-14.4861;90;Bottom;SIM800L
292;;;25.2222;-45.2236;0;Bottom;Copper Fill86
293;;;27.4701;-60.9716;0;Bottom;Copper Fill29
294;;;5.6769;-48.2716;0;Bottom;Copper Fill28
295;;;57.277;-51.0783;0;Bottom;Copper Fill50
296;;;62.357;-28.1802;0;Bottom;Copper Fill15
297;;;61.3918;-31.6092;0;Bottom;Copper Fill95
298;;;56.4261;-50.2528;0;Bottom;Copper Fill146
299;;;52.9336;-60.3239;0;Bottom;Copper Fill78
300;;;86.6902;-56.0059;0;Bottom;Copper Fill49
301;;;58.3184;-20.6999;0;Bottom;Copper Fill182
302;;;86.6902;-50.9767;0;Bottom;Copper Fill47
